FORM,GLOTTOCODE,SoundClasses,SegmentCount,EMOTION
okme,afar1241,okme,4,LEXICON
ɐre,afar1241,are,3,LEXICON
uble,afar1241,uble,4,LEXICON
obe,afar1241,obe,3,LEXICON
eχege,afar1241,eXege,5,LEXICON
hɐmbɐddɐedχe,afar1241,hambaddaedXe,12,LEXICON
rɐbe,afar1241,rabe,4,LEXICON
χide,afar1241,Xide,4,LEXICON
iggife,afar1241,iggife,6,LEXICON
girise,afar1241,girise,6,LEXICON
hɐde,afar1241,hade,4,LEXICON
geχe,afar1241,geXe,4,LEXICON
dikkɐedχe,afar1241,dikkaedXe,9,LEXICON
emete,afar1241,emete,5,LEXICON
inɐχite,afar1241,inaXite,7,LEXICON
χɐχɐhgɐde,afar1241,XaXahgade,9,LEXICON
dɐfeje,afar1241,dafeye,6,LEXICON
sol,afar1241,sol,3,LEXICON
eχe,afar1241,eXe,3,LEXICON
edχe,afar1241,edXe,4,LEXICON
wɐrise,afar1241,warise,6,LEXICON
ɐjro,afar1241,ayro,4,LEXICON
ɐlsɐ,afar1241,alsa,4,LEXICON
χutukɐ,afar1241,Xutuka,6,LEXICON
le,afar1241,le,2,LEXICON
rob,afar1241,rob,3,LEXICON
robu,afar1241,robu,4,LEXICON
dɐ,afar1241,da,2,LEXICON
nis,afar1241,nis,3,LEXICON
nisi,afar1241,nisi,4,LEXICON
sɐχijtɐ,afar1241,saXiyta,7,LEXICON
ɐrdi,afar1241,ardi,4,LEXICON
burtɐ,afar1241,burta,5,LEXICON
χɐmburre,afar1241,Xamburre,8,LEXICON
χer,afar1241,Xer,3,LEXICON
girɐ,afar1241,gira,4,LEXICON
midɐχid,afar1241,midaXid,7,LEXICON
midɐχidi,afar1241,midaXidi,8,LEXICON
gombod,afar1241,gombod,6,LEXICON
χɐrɐre,afar1241,Xarare,6,LEXICON
gɐχejnɐ,afar1241,gaXeyna,7,LEXICON
χɐle,afar1241,Xale,4,LEXICON
χisi,afar1241,Xisi,4,LEXICON
inχiχi,afar1241,inXiXi,6,LEXICON
hurdinim,afar1241,hurdinim,8,LEXICON
χɐdo,afar1241,Xado,4,LEXICON
dɐtɐ,afar1241,data,4,LEXICON
bɐr,afar1241,bar,3,LEXICON
bɐrɐ,afar1241,bara,4,LEXICON
lɐχnɐ,afar1241,laXna,5,LEXICON
niχnɐ,afar1241,niXna,5,LEXICON
