FORM,GLOTTOCODE,SoundClasses,SegmentCount,EMOTION
ndembakana,diri1252,ndembakana,10,LEXICON
tetaura,diri1252,tetaura,7,LEXICON
dána,diri1252,dana,4,LEXICON
mjáka,diri1252,myaka,5,LEXICON
káŋka,diri1252,kaNka,5,LEXICON
uku,diri1252,uku,3,LEXICON
wi,diri1252,wi,2,LEXICON
ɲa,diri1252,5a,2,LEXICON
doŋgonona,diri1252,doNgonona,9,LEXICON
hánuna,diri1252,hanuna,6,LEXICON
tima,diri1252,tima,4,LEXICON
dîdipita,diri1252,didipita,8,LEXICON
ʃeʃupeka,diri1252,SeSupeka,8,LEXICON
tepura,diri1252,tepura,6,LEXICON
háŋgura,diri1252,haNgura,7,LEXICON
távura,diri1252,tavura,6,LEXICON
bwa,diri1252,bwa,3,LEXICON
doŋgi,diri1252,doNgi,5,LEXICON
nánduji,diri1252,nanduyi,7,LEXICON
vero,diri1252,vero,4,LEXICON
veta,diri1252,veta,4,LEXICON
rôta,diri1252,rota,4,LEXICON
nwa,diri1252,nwa,3,LEXICON
goma,diri1252,goma,4,LEXICON
kuŋgu,diri1252,kuNgu,5,LEXICON
twi,diri1252,twi,3,LEXICON
lja,diri1252,lya,3,LEXICON
βuta,diri1252,buta,4,LEXICON
tántátu,diri1252,tantatu,7,LEXICON
kôkona,diri1252,kokona,6,LEXICON
d͡ʒovu,diri1252,jovu,4,LEXICON
tudi,diri1252,tudi,4,LEXICON
dîmita,diri1252,dimita,6,LEXICON
nt͡ʃo,diri1252,nCo,3,LEXICON
tîre,diri1252,tire,4,LEXICON
ŋkôpe,diri1252,Nkope,5,LEXICON
pa,diri1252,pa,2,LEXICON
to,diri1252,to,2,LEXICON
wa,diri1252,wa,2,LEXICON
ɣádi,diri1252,xadi,4,LEXICON
pu,diri1252,pu,2,LEXICON
ɣoma,diri1252,xoma,4,LEXICON
huŋga,diri1252,huNga,5,LEXICON
ʃeʃu,diri1252,SeSu,4,LEXICON
fuβa,diri1252,fuba,4,LEXICON
twe,diri1252,twe,3,LEXICON
ndundana,diri1252,ndundana,8,LEXICON
rwa,diri1252,rwa,3,LEXICON
ara,diri1252,ara,3,LEXICON
ndwára,diri1252,ndwara,6,LEXICON
ndiro,diri1252,ndiro,5,LEXICON
dîko,diri1252,diko,4,LEXICON
kuni,diri1252,kuni,4,LEXICON
t͡ʃwi,diri1252,Cwi,3,LEXICON
gomi,diri1252,gomi,4,LEXICON
oŋgo,diri1252,oNgo,4,LEXICON
táno,diri1252,tano,4,LEXICON
bja,diri1252,bya,3,LEXICON
ǀuko,diri1252,!uko,4,LEXICON
di,diri1252,di,2,LEXICON
tuka,diri1252,tuka,4,LEXICON
furu,diri1252,furu,4,LEXICON
tutu,diri1252,tutu,4,LEXICON
kwama,diri1252,kwama,5,LEXICON
tîtu,diri1252,titu,4,LEXICON
vurama,diri1252,vurama,6,LEXICON
ine,diri1252,ine,3,LEXICON
ne,diri1252,ne,2,LEXICON
kuku,diri1252,kuku,4,LEXICON
ɲambo,diri1252,5ambo,5,LEXICON
kaŋga,diri1252,kaNga,5,LEXICON
gwáŋgerera,diri1252,gwaNgerera,10,LEXICON
hôka,diri1252,hoka,4,LEXICON
ʝika,diri1252,Zika,4,LEXICON
ʝombera,diri1252,Zombera,7,LEXICON
ɣoveka,diri1252,xoveka,6,LEXICON
hend͡ʒa,diri1252,henja,5,LEXICON
kômbana,diri1252,kombana,7,LEXICON
noŋga,diri1252,noNga,5,LEXICON
gwána,diri1252,gwana,5,LEXICON
ʃwa,diri1252,Swa,3,LEXICON
pa,diri1252,pa,2,LEXICON
ʃámpuruka,diri1252,Sampuruka,9,LEXICON
vara,diri1252,vara,4,LEXICON
ʝenda,diri1252,Zenda,5,LEXICON
ŋgena,diri1252,Ngena,5,LEXICON
pwáɣa,diri1252,pwaxa,5,LEXICON
kômbo,diri1252,kombo,5,LEXICON
ambi,diri1252,ambi,4,LEXICON
ʃiʃima,diri1252,SiSima,6,LEXICON
danda,diri1252,danda,5,LEXICON
ama,diri1252,ama,3,LEXICON
ama,diri1252,ama,3,LEXICON
dumina,diri1252,dumina,6,LEXICON
ɣoɣora,diri1252,xoxora,6,LEXICON
mjona,diri1252,myona,5,LEXICON
huki,diri1252,huki,4,LEXICON
kumbi,diri1252,kumbi,5,LEXICON
káɲu,diri1252,ka5u,4,LEXICON
twe,diri1252,twe,3,LEXICON
ʝuva,diri1252,Zuva,4,LEXICON
ʃîma,diri1252,Sima,4,LEXICON
ntîntiɲa,diri1252,ntinti5a,8,LEXICON
báta,diri1252,bata,4,LEXICON
bunda,diri1252,bunda,5,LEXICON
burura,diri1252,burura,6,LEXICON
ʃinuna,diri1252,Sinuna,6,LEXICON
toɣona,diri1252,toxona,6,LEXICON
temo,diri1252,temo,4,LEXICON
ʃi,diri1252,Si,2,LEXICON
βiŋga,diri1252,biNga,5,LEXICON
d͡ʒuɣo,diri1252,juxo,4,LEXICON
ŋgápi,diri1252,Ngapi,5,LEXICON
fere,diri1252,fere,4,LEXICON
d͡ʒára,diri1252,jara,4,LEXICON
ʃana,diri1252,Sana,4,LEXICON
koŋgo,diri1252,koNgo,5,LEXICON
kafumu,diri1252,kafumu,6,LEXICON
mbuŋgu,diri1252,mbuNgu,6,LEXICON
ame,diri1252,ame,3,LEXICON
kumeho,diri1252,kumeho,6,LEXICON
wederera,diri1252,wederera,8,LEXICON
pwáli,diri1252,pwali,5,LEXICON
ɣura,diri1252,xura,4,LEXICON
ʝuɣa,diri1252,Zuxa,4,LEXICON
panda,diri1252,panda,5,LEXICON
fupa,diri1252,fupa,4,LEXICON
gera,diri1252,gera,4,LEXICON
dipaɣa,diri1252,dipaxa,6,LEXICON
goro,diri1252,goro,4,LEXICON
toŋgamena,diri1252,toNgamena,9,LEXICON
bere,diri1252,bere,4,LEXICON
ʝîva,diri1252,Ziva,4,LEXICON
kora,diri1252,kora,4,LEXICON
ʃepa,diri1252,Sepa,4,LEXICON
dere,diri1252,dere,4,LEXICON
háko,diri1252,hako,4,LEXICON
fiɲauka,diri1252,fi5auka,7,LEXICON
mont͡ʃo,diri1252,monCo,5,LEXICON
ɣuru,diri1252,xuru,4,LEXICON
peʃa,diri1252,peSa,4,LEXICON
rara,diri1252,rara,4,LEXICON
reru,diri1252,reru,4,LEXICON
βádi,diri1252,badi,4,LEXICON
ruŋgu,diri1252,ruNgu,5,LEXICON
geβo,diri1252,gebo,4,LEXICON
teɣekera,diri1252,texekera,8,LEXICON
ʃuli,diri1252,Suli,4,LEXICON
mbonde,diri1252,mbonde,6,LEXICON
repa,diri1252,repa,4,LEXICON
keŋga,diri1252,keNga,5,LEXICON
ʃana,diri1252,Sana,4,LEXICON
na,diri1252,na,2,LEXICON
hora,diri1252,hora,4,LEXICON
puŋga,diri1252,puNga,5,LEXICON
puŋgu,diri1252,puNgu,5,LEXICON
kwara,diri1252,kwara,5,LEXICON
ama,diri1252,ama,3,LEXICON
tôndo,diri1252,tondo,5,LEXICON
gaŋga,diri1252,gaNga,5,LEXICON
gwánekera,diri1252,gwanekera,9,LEXICON
ʃîni,diri1252,Sini,4,LEXICON
kwedi,diri1252,kwedi,5,LEXICON
we,diri1252,we,2,LEXICON
βumba,diri1252,bumba,5,LEXICON
dundu,diri1252,dundu,5,LEXICON
nwa,diri1252,nwa,3,LEXICON
runduruka,diri1252,runduruka,9,LEXICON
tata,diri1252,tata,4,LEXICON
dîna,diri1252,dina,4,LEXICON
koti,diri1252,koti,4,LEXICON
kôvu,diri1252,kovu,4,LEXICON
pepina,diri1252,pepina,6,LEXICON
tîŋgo,diri1252,tiNgo,5,LEXICON
gundo,diri1252,gundo,5,LEXICON
ɣupe,diri1252,xupe,4,LEXICON
tîku,diri1252,tiku,4,LEXICON
ntáne,diri1252,ntane,5,LEXICON
ʝuru,diri1252,Zuru,4,LEXICON
kurukadi,diri1252,kurukadi,8,LEXICON
mwe,diri1252,mwe,3,LEXICON
fîkura,diri1252,fikura,6,LEXICON
pamband͡ʒe,diri1252,pambanje,8,LEXICON
pand͡ʒe,diri1252,panje,5,LEXICON
ʝoβoroka,diri1252,Zoboroka,8,LEXICON
